id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag,num_sources,flux_integrated,outlier_flag
   2.00000,  13.60292,  24.95757,   0.77016,   0.09448,  -0.09514,  25.00000,   0.00000,  93.76323,   5.74086,  -1.89571,   2.00000,1896.33059,   0.00000
   2.00000,  13.54259,  25.07967,   0.72933,  -0.03526,  -0.13496,  25.00000,   0.00000,  88.03679,   5.59403,  -1.86790,   2.00000,1907.72571,   0.00000
   2.00000,  13.55764,  25.07627,   0.75160,  -0.03521,  -0.11751,  25.00000,   0.00000,  92.01121,   5.72888,  -1.89369,   2.00000,1911.15451,   0.00000
   2.00000,  13.60367,  25.06792,   0.76997,  -0.00646,  -0.08770,  25.00000,   0.00000,  94.55603,   5.81799,  -1.91075,   2.00000,1895.51840,   0.00000
   2.00000,  13.63809,  25.06518,   0.77278,   0.00508,  -0.06668,  25.00000,   0.00000,  97.10564,   6.00404,  -1.94475,   2.00000,1909.32264,   0.00000
   2.00000,  13.63012,  25.06158,   0.77951,   0.02159,  -0.06758,  25.00000,   0.00000,  97.03601,   5.94945,  -1.93493,   2.00000,1906.19536,   0.00000
   2.00000,  13.62902,  25.05227,   0.77204,   0.01713,  -0.06613,  25.00000,   0.00000,  96.02800,   5.90217,  -1.92605,   2.00000,1905.28044,   0.00000
   2.00000,  13.61043,  25.04910,   0.77160,   0.00478,  -0.07349,  25.00000,   0.00000,  95.47324,   5.88019,  -1.92191,   2.00000,1904.45588,   0.00000
   2.00000,  13.61487,  25.08030,   0.76881,   0.00533,  -0.06830,  25.00000,   0.00000,  94.35215,   5.78120,  -1.90338,   2.00000,1893.13150,   0.00000
   1.97031,  13.62446,  25.03953,   0.76364,   0.05110,  -0.07770,  24.61094,   0.00156,  94.64486,   5.82671,  -1.89667,   1.97031,1902.48984,   0.01562
   2.00000,  13.63190,  25.04435,   0.77580,   0.02723,  -0.06570,  25.00000,   0.00000,  97.06510,   5.99530,  -1.94328,   2.00000,1913.55570,   0.00000
   2.00000,  13.61528,  25.04482,   0.77073,   0.02905,  -0.08414,  25.00000,   0.00000,  95.47541,   5.87259,  -1.92087,   2.00000,1903.53125,   0.00000
   2.00000,  13.63760,  25.02119,   0.78091,   0.03666,  -0.07216,  25.00000,   0.00000,  97.18743,   5.97650,  -1.94000,   2.00000,1899.75512,   0.00000
   1.98438,  13.64946,  25.00733,   0.78393,   0.05332,  -0.05862,  25.00000,   0.00000, 103.13273,   6.41410,  -1.97979,   2.01562,1906.82365,   0.01562
   2.00000,  13.64815,  25.00262,   0.78594,   0.07951,  -0.06049,  25.00000,   0.00000,  99.02893,   6.06160,  -1.95520,   2.00000,1909.02909,   0.00000
   2.00000,  13.67793,  24.99924,   0.78979,   0.06436,  -0.04073,  25.00000,   0.00000, 100.01381,   6.11037,  -1.96391,   2.00000,1906.61486,   0.00000
   2.00000,  13.66735,  24.99896,   0.78581,   0.07791,  -0.05276,  25.00000,   0.00000,  98.72019,   6.06760,  -1.95634,   2.00000,1900.46994,   0.00000
   2.00000,  13.66102,  25.00281,   0.78587,   0.07403,  -0.06243,  25.00000,   0.00000,  99.98706,   6.14643,  -1.97016,   2.00000,1920.34714,   0.00000
